id,sku,title,summary,description,brand,material,fit,pattern,category,gender,age_group,color,size,price,discount,stock,condition,status,origin,thumbnail_url,image_urls,video_url,created_at,updated_at,image,name
11,SKU-00011,The North Face Hat Yellow S,"Hat thời trang female chất liệu Polyester, kiểu Oversized, họa tiết Graphic.","Sản phẩm hat cao cấp của thương hiệu The North Face, màu Yellow, size S. Chất liệu Polyester thoáng mát, phù hợp cho female. Kiểu dáng Oversized, họa tiết Graphic. Xuất xứ Thailand. Giá gốc $402.44 với ưu đãi giảm 20%.",The North Face,Polyester,Oversized,Graphic,Hat,female,kids,Yellow,S,402.44,20,5,new,0,Thailand,https://example.com/images/hat_11.jpg,https://example.com/images/hat_11_1.jpg;https://example.com/images/hat_11_2.jpg,https://example.com/videos/hat_11.mp4,2025-10-07 08:03:52,2025-10-23 08:03:52,https://images.pexels.com/photos/34618181/pexels-photo-34618181.jpeg?auto=compress&cs=tinysrgb&h=350,The North Face Hat Yellow S
12,SKU-00012,Adidas T-Shirt Brown L,"T-Shirt thời trang unisex chất liệu Polyester, kiểu Oversized, họa tiết Plain.","Sản phẩm t-shirt cao cấp của thương hiệu Adidas, màu Brown, size L. Chất liệu Polyester thoáng mát, phù hợp cho unisex. Kiểu dáng Oversized, họa tiết Plain. Xuất xứ Italy. Giá gốc $202.69 với ưu đãi giảm 5%.",Adidas,Polyester,Oversized,Plain,T-Shirt,unisex,kids,Brown,L,202.69,5,88,refurbished,0,Italy,https://example.com/images/t-shirt_12.jpg,https://example.com/images/t-shirt_12_1.jpg;https://example.com/images/t-shirt_12_2.jpg,https://example.com/videos/t-shirt_12.mp4,2025-04-10 15:11:17,2025-04-22 15:11:17,https://images.pexels.com/photos/27467420/pexels-photo-27467420.jpeg?auto=compress&cs=tinysrgb&h=350,Adidas T-Shirt Brown L
13,SKU-00013,Reebok Jeans Gray XL,"Jeans thời trang unisex chất liệu Silk, kiểu Regular, họa tiết Embroidered.","Sản phẩm jeans cao cấp của thương hiệu Reebok, màu Gray, size XL. Chất liệu Silk thoáng mát, phù hợp cho unisex. Kiểu dáng Regular, họa tiết Embroidered. Xuất xứ Bangladesh. Giá gốc $454.59 với ưu đãi giảm 5%.",Reebok,Silk,Regular,Embroidered,Jeans,unisex,teen,Gray,XL,454.59,5,171,used,1,Bangladesh,https://example.com/images/jeans_13.jpg,https://example.com/images/jeans_13_1.jpg;https://example.com/images/jeans_13_2.jpg,https://example.com/videos/jeans_13.mp4,2025-03-05 10:38:10,2025-04-19 10:38:10,https://images.pexels.com/photos/32233642/pexels-photo-32233642.jpeg?auto=compress&cs=tinysrgb&h=350,Reebok Jeans Gray XL
14,SKU-00014,Fila T-Shirt Green M,"T-Shirt thời trang male chất liệu Nylon, kiểu Tapered, họa tiết Plain.","Sản phẩm t-shirt cao cấp của thương hiệu Fila, màu Green, size M. Chất liệu Nylon thoáng mát, phù hợp cho male. Kiểu dáng Tapered, họa tiết Plain. Xuất xứ Japan. Giá gốc $67.12 với ưu đãi giảm 0%.",Fila,Nylon,Tapered,Plain,T-Shirt,male,kids,Green,M,67.12,0,81,refurbished,1,Japan,https://example.com/images/t-shirt_14.jpg,https://example.com/images/t-shirt_14_1.jpg;https://example.com/images/t-shirt_14_2.jpg,https://example.com/videos/t-shirt_14.mp4,2025-10-08 10:55:04,2025-10-15 10:55:04,https://images.pexels.com/photos/10493094/pexels-photo-10493094.jpeg?auto=compress&cs=tinysrgb&h=350,Fila T-Shirt Green M
15,SKU-00015,Reebok Bag Beige XXL,"Bag thời trang unisex chất liệu Suede, kiểu Straight, họa tiết Striped.","Sản phẩm bag cao cấp của thương hiệu Reebok, màu Beige, size XXL. Chất liệu Suede thoáng mát, phù hợp cho unisex. Kiểu dáng Straight, họa tiết Striped. Xuất xứ China. Giá gốc $335.58 với ưu đãi giảm 5%.",Reebok,Suede,Straight,Striped,Bag,unisex,adult,Beige,XXL,335.58,5,199,refurbished,1,China,https://example.com/images/bag_15.jpg,https://example.com/images/bag_15_1.jpg;https://example.com/images/bag_15_2.jpg,https://example.com/videos/bag_15.mp4,2025-08-13 17:11:27,2025-10-04 17:11:27,https://images.pexels.com/photos/9594415/pexels-photo-9594415.jpeg?auto=compress&cs=tinysrgb&h=350,Reebok Bag Beige XXL
16,SKU-00016,Puma Skirt Beige XL,"Skirt thời trang unisex chất liệu Suede, kiểu Relaxed, họa tiết Checked.","Sản phẩm skirt cao cấp của thương hiệu Puma, màu Beige, size XL. Chất liệu Suede thoáng mát, phù hợp cho unisex. Kiểu dáng Relaxed, họa tiết Checked. Xuất xứ Korea. Giá gốc $244.66 với ưu đãi giảm 10%.",Puma,Suede,Relaxed,Checked,Skirt,unisex,kids,Beige,XL,244.66,10,196,refurbished,0,Korea,https://example.com/images/skirt_16.jpg,https://example.com/images/skirt_16_1.jpg;https://example.com/images/skirt_16_2.jpg,https://example.com/videos/skirt_16.mp4,2025-04-06 02:51:54,2025-04-16 02:51:54,https://images.pexels.com/photos/9594421/pexels-photo-9594421.jpeg?auto=compress&cs=tinysrgb&h=350,Puma Skirt Beige XL
17,SKU-00017,Zara Sneakers Red XS,"Sneakers thời trang male chất liệu Nylon, kiểu Oversized, họa tiết Printed.","Sản phẩm sneakers cao cấp của thương hiệu Zara, màu Red, size XS. Chất liệu Nylon thoáng mát, phù hợp cho male. Kiểu dáng Oversized, họa tiết Printed. Xuất xứ Thailand. Giá gốc $255.39 với ưu đãi giảm 20%.",Zara,Nylon,Oversized,Printed,Sneakers,male,adult,Red,XS,255.39,20,122,used,0,Thailand,https://example.com/images/sneakers_17.jpg,https://example.com/images/sneakers_17_1.jpg;https://example.com/images/sneakers_17_2.jpg,https://example.com/videos/sneakers_17.mp4,2024-10-31 10:15:01,2024-12-28 10:15:01,https://images.pexels.com/photos/13428014/pexels-photo-13428014.jpeg?auto=compress&cs=tinysrgb&h=350,Zara Sneakers Red XS
18,SKU-00018,Uniqlo Bag Beige M,"Bag thời trang female chất liệu Polyester, kiểu Relaxed, họa tiết Graphic.","Sản phẩm bag cao cấp của thương hiệu Uniqlo, màu Beige, size M. Chất liệu Polyester thoáng mát, phù hợp cho female. Kiểu dáng Relaxed, họa tiết Graphic. Xuất xứ Vietnam. Giá gốc $462.52 với ưu đãi giảm 15%.",Uniqlo,Polyester,Relaxed,Graphic,Bag,female,teen,Beige,M,462.52,15,160,refurbished,0,Vietnam,https://example.com/images/bag_18.jpg,https://example.com/images/bag_18_1.jpg;https://example.com/images/bag_18_2.jpg,https://example.com/videos/bag_18.mp4,2025-05-28 16:56:23,2025-06-24 16:56:23,https://images.pexels.com/photos/9594425/pexels-photo-9594425.jpeg?auto=compress&cs=tinysrgb&h=350,Uniqlo Bag Beige M
19,SKU-00019,Burberry Jacket Pink L,"Jacket thời trang unisex chất liệu Cotton, kiểu Regular, họa tiết Printed.","Sản phẩm jacket cao cấp của thương hiệu Burberry, màu Pink, size L. Chất liệu Cotton thoáng mát, phù hợp cho unisex. Kiểu dáng Regular, họa tiết Printed. Xuất xứ USA. Giá gốc $156.95 với ưu đãi giảm 30%.",Burberry,Cotton,Regular,Printed,Jacket,unisex,kids,Pink,L,156.95,30,66,used,1,USA,https://example.com/images/jacket_19.jpg,https://example.com/images/jacket_19_1.jpg;https://example.com/images/jacket_19_2.jpg,https://example.com/videos/jacket_19.mp4,2025-07-10 06:24:49,2025-08-23 06:24:49,https://images.pexels.com/photos/6940315/pexels-photo-6940315.jpeg?auto=compress&cs=tinysrgb&h=350,Burberry Jacket Pink L
20,SKU-00020,Converse Sneakers White M,"Sneakers thời trang male chất liệu Wool, kiểu Relaxed, họa tiết Graphic.","Sản phẩm sneakers cao cấp của thương hiệu Converse, màu White, size M. Chất liệu Wool thoáng mát, phù hợp cho male. Kiểu dáng Relaxed, họa tiết Graphic. Xuất xứ China. Giá gốc $60.15 với ưu đãi giảm 40%.",Converse,Wool,Relaxed,Graphic,Sneakers,male,teen,White,M,60.15,40,79,used,0,China,https://example.com/images/sneakers_20.jpg,https://example.com/images/sneakers_20_1.jpg;https://example.com/images/sneakers_20_2.jpg,https://example.com/videos/sneakers_20.mp4,2025-05-23 22:35:12,2025-07-09 22:35:12,https://images.pexels.com/photos/4440908/pexels-photo-4440908.jpeg?auto=compress&cs=tinysrgb&h=350,Converse Sneakers White M
21,SKU-00021,Burberry Shorts Gray S,"Shorts thời trang female chất liệu Cotton, kiểu Straight, họa tiết Checked.","Sản phẩm shorts cao cấp của thương hiệu Burberry, màu Gray, size S. Chất liệu Cotton thoáng mát, phù hợp cho female. Kiểu dáng Straight, họa tiết Checked. Xuất xứ USA. Giá gốc $432.21 với ưu đãi giảm 10%.",Burberry,Cotton,Straight,Checked,Shorts,female,teen,Gray,S,432.21,10,51,new,0,USA,https://example.com/images/shorts_21.jpg,https://example.com/images/shorts_21_1.jpg;https://example.com/images/shorts_21_2.jpg,https://example.com/videos/shorts_21.mp4,2024-11-21 00:14:21,2024-12-20 00:14:21,https://images.pexels.com/photos/15179152/pexels-photo-15179152.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,Burberry Shorts Gray S
22,SKU-00022,Reebok Hat Blue M,"Hat thời trang unisex chất liệu Nylon, kiểu Loose, họa tiết Checked.","Sản phẩm hat cao cấp của thương hiệu Reebok, màu Blue, size M. Chất liệu Nylon thoáng mát, phù hợp cho unisex. Kiểu dáng Loose, họa tiết Checked. Xuất xứ Japan. Giá gốc $26.38 với ưu đãi giảm 20%.",Reebok,Nylon,Loose,Checked,Hat,unisex,adult,Blue,M,26.38,20,166,used,0,Japan,https://example.com/images/hat_22.jpg,https://example.com/images/hat_22_1.jpg;https://example.com/images/hat_22_2.jpg,https://example.com/videos/hat_22.mp4,2025-04-29 17:13:13,2025-05-27 17:13:13,https://images.pexels.com/photos/32446274/pexels-photo-32446274.jpeg?auto=compress&cs=tinysrgb&h=350,Reebok Hat Blue M
23,SKU-00023,The North Face Skirt Beige M,"Skirt thời trang female chất liệu Polyester, kiểu Slim, họa tiết Graphic.","Sản phẩm skirt cao cấp của thương hiệu The North Face, màu Beige, size M. Chất liệu Polyester thoáng mát, phù hợp cho female. Kiểu dáng Slim, họa tiết Graphic. Xuất xứ Korea. Giá gốc $186.59 với ưu đãi giảm 30%.",The North Face,Polyester,Slim,Graphic,Skirt,female,teen,Beige,M,186.59,30,150,new,1,Korea,https://example.com/images/skirt_23.jpg,https://example.com/images/skirt_23_1.jpg;https://example.com/images/skirt_23_2.jpg,https://example.com/videos/skirt_23.mp4,2025-04-04 22:42:28,2025-04-18 22:42:28,https://images.pexels.com/photos/4614110/pexels-photo-4614110.jpeg?auto=compress&cs=tinysrgb&h=350,The North Face Skirt Beige M
24,SKU-00024,The North Face Bag Red XL,"Bag thời trang female chất liệu Nylon, kiểu Relaxed, họa tiết Graphic.","Sản phẩm bag cao cấp của thương hiệu The North Face, màu Red, size XL. Chất liệu Nylon thoáng mát, phù hợp cho female. Kiểu dáng Relaxed, họa tiết Graphic. Xuất xứ Korea. Giá gốc $222.55 với ưu đãi giảm 50%.",The North Face,Nylon,Relaxed,Graphic,Bag,female,adult,Red,XL,222.55,50,107,used,1,Korea,https://example.com/images/bag_24.jpg,https://example.com/images/bag_24_1.jpg;https://example.com/images/bag_24_2.jpg,https://example.com/videos/bag_24.mp4,2025-08-06 03:44:57,2025-09-16 03:44:57,https://images.pexels.com/photos/1822845/pexels-photo-1822845.jpeg?auto=compress&cs=tinysrgb&h=350,The North Face Bag Red XL
25,SKU-00025,Fila Dress Green L,"Dress thời trang unisex chất liệu Polyester, kiểu Tapered, họa tiết Striped.","Sản phẩm dress cao cấp của thương hiệu Fila, màu Green, size L. Chất liệu Polyester thoáng mát, phù hợp cho unisex. Kiểu dáng Tapered, họa tiết Striped. Xuất xứ Italy. Giá gốc $278.95 với ưu đãi giảm 10%.",Fila,Polyester,Tapered,Striped,Dress,unisex,adult,Green,L,278.95,10,13,new,1,Italy,https://example.com/images/dress_25.jpg,https://example.com/images/dress_25_1.jpg;https://example.com/images/dress_25_2.jpg,https://example.com/videos/dress_25.mp4,2025-07-12 04:18:49,2025-08-28 04:18:49,https://images.pexels.com/photos/1488507/pexels-photo-1488507.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,Fila Dress Green L
26,SKU-00026,Lacoste Dress Pink M,"Dress thời trang female chất liệu Polyester, kiểu Relaxed, họa tiết Checked.","Sản phẩm dress cao cấp của thương hiệu Lacoste, màu Pink, size M. Chất liệu Polyester thoáng mát, phù hợp cho female. Kiểu dáng Relaxed, họa tiết Checked. Xuất xứ Bangladesh. Giá gốc $429.03 với ưu đãi giảm 40%.",Lacoste,Polyester,Relaxed,Checked,Dress,female,kids,Pink,M,429.03,40,90,used,1,Bangladesh,https://example.com/images/dress_26.jpg,https://example.com/images/dress_26_1.jpg;https://example.com/images/dress_26_2.jpg,https://example.com/videos/dress_26.mp4,2025-06-28 09:09:15,2025-07-21 09:09:15,https://images.pexels.com/photos/7552724/pexels-photo-7552724.jpeg?auto=compress&cs=tinysrgb&h=350,Lacoste Dress Pink M
27,SKU-00027,Chanel Hat Yellow S,"Hat thời trang female chất liệu Silk, kiểu Oversized, họa tiết Plain.","Sản phẩm hat cao cấp của thương hiệu Chanel, màu Yellow, size S. Chất liệu Silk thoáng mát, phù hợp cho female. Kiểu dáng Oversized, họa tiết Plain. Xuất xứ Thailand. Giá gốc $297.3 với ưu đãi giảm 0%.",Chanel,Silk,Oversized,Plain,Hat,female,teen,Yellow,S,297.3,0,9,new,1,Thailand,https://example.com/images/hat_27.jpg,https://example.com/images/hat_27_1.jpg;https://example.com/images/hat_27_2.jpg,https://example.com/videos/hat_27.mp4,2025-01-03 11:54:14,2025-02-23 11:54:14,https://images.pexels.com/photos/11167439/pexels-photo-11167439.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,Chanel Hat Yellow S
28,SKU-00028,Gucci Sneakers Black L,"Sneakers thời trang unisex chất liệu Linen, kiểu Oversized, họa tiết Solid.","Sản phẩm sneakers cao cấp của thương hiệu Gucci, màu Black, size L. Chất liệu Linen thoáng mát, phù hợp cho unisex. Kiểu dáng Oversized, họa tiết Solid. Xuất xứ India. Giá gốc $147.51 với ưu đãi giảm 25%.",Gucci,Linen,Oversized,Solid,Sneakers,unisex,kids,Black,L,147.51,25,85,refurbished,0,India,https://example.com/images/sneakers_28.jpg,https://example.com/images/sneakers_28_1.jpg;https://example.com/images/sneakers_28_2.jpg,https://example.com/videos/sneakers_28.mp4,2025-07-28 17:31:46,2025-08-02 17:31:46,https://images.pexels.com/photos/16018111/pexels-photo-16018111.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,Gucci Sneakers Black L
29,SKU-00029,Dior Hat Green XS,"Hat thời trang female chất liệu Canvas, kiểu Loose, họa tiết Graphic.","Sản phẩm hat cao cấp của thương hiệu Dior, màu Green, size XS. Chất liệu Canvas thoáng mát, phù hợp cho female. Kiểu dáng Loose, họa tiết Graphic. Xuất xứ Vietnam. Giá gốc $374.91 với ưu đãi giảm 0%.",Dior,Canvas,Loose,Graphic,Hat,female,kids,Green,XS,374.91,0,172,new,1,Vietnam,https://example.com/images/hat_29.jpg,https://example.com/images/hat_29_1.jpg;https://example.com/images/hat_29_2.jpg,https://example.com/videos/hat_29.mp4,2025-09-11 11:29:54,2025-11-02 11:29:54,https://images.pexels.com/photos/28725300/pexels-photo-28725300.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,Dior Hat Green XS
30,SKU-00030,Lacoste Hat Pink M,"Hat thời trang unisex chất liệu Polyester, kiểu Tapered, họa tiết Solid.","Sản phẩm hat cao cấp của thương hiệu Lacoste, màu Pink, size M. Chất liệu Polyester thoáng mát, phù hợp cho unisex. Kiểu dáng Tapered, họa tiết Solid. Xuất xứ Vietnam. Giá gốc $151.77 với ưu đãi giảm 5%.",Lacoste,Polyester,Tapered,Solid,Hat,unisex,teen,Pink,M,151.77,5,65,refurbished,1,Vietnam,https://example.com/images/hat_30.jpg,https://example.com/images/hat_30_1.jpg;https://example.com/images/hat_30_2.jpg,https://example.com/videos/hat_30.mp4,2025-10-05 03:54:42,2025-10-19 03:54:42,https://images.pexels.com/photos/6371815/pexels-photo-6371815.jpeg?auto=compress&cs=tinysrgb&h=350,Lacoste Hat Pink M
31,SKU-00031,Fila Hat Red M,"Hat thời trang unisex chất liệu Canvas, kiểu Tapered, họa tiết Solid.","Sản phẩm hat cao cấp của thương hiệu Fila, màu Red, size M. Chất liệu Canvas thoáng mát, phù hợp cho unisex. Kiểu dáng Tapered, họa tiết Solid. Xuất xứ Korea. Giá gốc $148.35 với ưu đãi giảm 15%.",Fila,Canvas,Tapered,Solid,Hat,unisex,adult,Red,M,148.35,15,165,refurbished,1,Korea,https://example.com/images/hat_31.jpg,https://example.com/images/hat_31_1.jpg;https://example.com/images/hat_31_2.jpg,https://example.com/videos/hat_31.mp4,2024-12-21 04:28:37,2025-02-13 04:28:37,https://images.pexels.com/photos/8075914/pexels-photo-8075914.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,Fila Hat Red M
32,SKU-00032,Calvin Klein Jacket Beige XS,"Jacket thời trang male chất liệu Polyester, kiểu Tapered, họa tiết Graphic.","Sản phẩm jacket cao cấp của thương hiệu Calvin Klein, màu Beige, size XS. Chất liệu Polyester thoáng mát, phù hợp cho male. Kiểu dáng Tapered, họa tiết Graphic. Xuất xứ Vietnam. Giá gốc $415.33 với ưu đãi giảm 50%.",Calvin Klein,Polyester,Tapered,Graphic,Jacket,male,teen,Beige,XS,415.33,50,57,used,1,Vietnam,https://example.com/images/jacket_32.jpg,https://example.com/images/jacket_32_1.jpg;https://example.com/images/jacket_32_2.jpg,https://example.com/videos/jacket_32.mp4,2025-02-22 17:28:21,2025-04-14 17:28:21,https://images.pexels.com/photos/11417942/pexels-photo-11417942.jpeg?auto=compress&cs=tinysrgb&h=350,Calvin Klein Jacket Beige XS
33,SKU-00033,Converse T-Shirt Blue S,"T-Shirt thời trang female chất liệu Silk, kiểu Regular, họa tiết Printed.","Sản phẩm t-shirt cao cấp của thương hiệu Converse, màu Blue, size S. Chất liệu Silk thoáng mát, phù hợp cho female. Kiểu dáng Regular, họa tiết Printed. Xuất xứ China. Giá gốc $186.97 với ưu đãi giảm 5%.",Converse,Silk,Regular,Printed,T-Shirt,female,adult,Blue,S,186.97,5,130,refurbished,1,China,https://example.com/images/t-shirt_33.jpg,https://example.com/images/t-shirt_33_1.jpg;https://example.com/images/t-shirt_33_2.jpg,https://example.com/videos/t-shirt_33.mp4,2025-10-23 12:56:05,2025-11-23 12:56:05,https://images.pexels.com/photos/27256467/pexels-photo-27256467.jpeg?auto=compress&cs=tinysrgb&h=350,Converse T-Shirt Blue S
34,SKU-00034,Burberry Shirt White S,"Shirt thời trang male chất liệu Nylon, kiểu Loose, họa tiết Printed.","Sản phẩm shirt cao cấp của thương hiệu Burberry, màu White, size S. Chất liệu Nylon thoáng mát, phù hợp cho male. Kiểu dáng Loose, họa tiết Printed. Xuất xứ Japan. Giá gốc $431.05 với ưu đãi giảm 10%.",Burberry,Nylon,Loose,Printed,Shirt,male,kids,White,S,431.05,10,8,new,1,Japan,https://example.com/images/shirt_34.jpg,https://example.com/images/shirt_34_1.jpg;https://example.com/images/shirt_34_2.jpg,https://example.com/videos/shirt_34.mp4,2025-09-16 15:50:00,2025-10-12 15:50:00,https://images.pexels.com/photos/7552324/pexels-photo-7552324.jpeg?auto=compress&cs=tinysrgb&h=350,Burberry Shirt White S
